geneid,mm,mv
GRMZM2G435294,0.0116099937489867,0.00568821423280031
GRMZM2G465046,0.00313507905793897,0.00132158621437171
GRMZM2G164072,0.423155231371874,0.0539496334410011
GRMZM2G465053,0.00310039465568494,0.00140294576302699
AC216219.3_FG006,0.00489041514041514,NA
GRMZM2G392306,0.00393582623839009,0.00198223049858101
GRMZM2G094586,0.125475427309799,0.0318791237644804
GRMZM2G081239,0.00415014334756743,0.00330933562879841
AC209664.3_FG002,0.00552999915833158,NA
GRMZM2G102494,0.401048630967148,NA
GRMZM2G079003,0.898393650793651,0.0218804147673104
GRMZM2G003167,0.712811612451528,0.154884765568129
GRMZM2G124288,0.113317295499096,NA
GRMZM2G124276,0.0937312984931925,0.0187737617341581
GRMZM2G124274,0.800361026047289,NA
GRMZM5G820423,0.83375227173956,NA
GRMZM2G113888,0.00189061072258139,0.000638556465013839
GRMZM5G862101,0.28178651137102,0.0490468882335161
GRMZM5G878346,0.00392812805474096,NA
GRMZM2G071986,0.205048854474505,0.0137438261995915
GRMZM2G003023,0.0142679268716033,0.00431545184270572
GRMZM2G325606,0.734167307692308,NA
GRMZM2G469939,0.875877997060273,NA
GRMZM2G171752,0.0129883152427638,0.00467906114896912
GRMZM2G152411,0.0486919634486061,0.0228372359913806
GRMZM2G152415,0.0629699769130864,0.0150862383949336
GRMZM2G080354,0.00428439783244535,NA
GRMZM5G852704,0.0316254935770998,0.0113759560274594
GRMZM2G093772,0.00286976457561121,0.00125730443512192
GRMZM2G019291,0.170196574224417,0.0193177585343684
GRMZM2G323422,0.00434717841463509,0.00264214022720466
GRMZM2G103227,0.891771691346234,0.056689540600919
GRMZM2G090226,0.0818346792946629,NA
GRMZM2G058560,0.024770325427866,0.00649608609367387
GRMZM2G058549,0.914914141414141,0.0152129436290146
GRMZM2G058474,0.00419066387885564,0.00247263162320118
GRMZM2G082198,0.138912616288776,0.0127918114970601
GRMZM2G387087,0.0908967984796167,NA
AC188727.3_FG003,0.83685273362905,0.0644041844459381
GRMZM2G136032,0.00733068169466458,0.00544374838624398
GRMZM2G135960,0.00388964652602682,0.00207067937004611
GRMZM2G008033,0.00251492610989515,NA
GRMZM2G307440,0.888072774171906,NA
GRMZM2G051330,0.399554935365476,0.0304739818669858
GRMZM2G544775,0.58593068944766,NA
GRMZM2G110929,0.0534746670065643,0.0211427326525784
GRMZM2G097620,0.398027514231499,0.0152965382602617
GRMZM5G892025,0.00412591382387822,0.00159457010804039
GRMZM5G812058,0.0555555555555556,NA
GRMZM5G872710,0.790706895174177,NA
GRMZM2G469502,0.647611929495625,NA
GRMZM2G469593,0.323720796102866,NA
GRMZM5G874756,0.00225265419301127,0.000860577468952833
GRMZM2G174087,0,NA
GRMZM2G174048,0.0119355138135243,NA
GRMZM5G814279,0.013205685575441,0.00631836577260836
GRMZM2G017537,0.0297595848101286,0.00819432874557145
GRMZM2G017257,0.410531789709861,0.0287131897231785
GRMZM2G017244,0.00276240339540625,0.00111715564308894
GRMZM2G315150,0.1125,NA
GRMZM2G000236,0.0120407618846432,0.00438964763498594
GRMZM2G000231,0.168105325642148,NA
GRMZM2G703223,0.835276226760805,0.0839728030041785
GRMZM2G106303,0.0016407844404808,0.000652288186521081
GRMZM2G390849,0.925650228041033,NA
GRMZM2G120475,0.767167820861701,0.0657591384087489
