geneid,mm
GRMZM2G145825,0.0129213483146067
GRMZM2G145816,0.0195360195360195
GRMZM2G145775,0.025
GRMZM2G452142,0.0122013142174432
GRMZM2G078274,0.0922715474602267
GRMZM2G078174,0.0476190476190476
GRMZM2G380582,0.831140711307545
GRMZM2G077541,0.525719688807924
GRMZM2G077744,0.793421052631579
GRMZM2G078033,0.0380464480874317
GRMZM2G078541,0.82582687521818
GRMZM2G413055,0.871212121212121
AC209169.3_FG007,0
GRMZM2G347841,NA
GRMZM2G385818,0.836970899470899
GRMZM2G081387,0.877777777777778
GRMZM2G081445,0.00159123055162659
GRMZM2G104430,0.321245421245421
GRMZM2G104538,0.00483091787439614
GRMZM2G107187,0.281632653061224
GRMZM2G009994,0.426910299003322
GRMZM2G010257,0.277777777777778
GRMZM2G010435,0.00490196078431373
GRMZM2G064870,0.194245614035088
GRMZM2G064949,0.169831223628692
GRMZM2G064967,0.451388888888889
GRMZM2G702888,0
GRMZM2G065012,0.00813008130081301
GRMZM2G010555,0.0580283353010626
GRMZM2G102349,0.249120695511673
GRMZM2G102450,0.772519854872796
GRMZM2G102471,0.0208333333333333
GRMZM2G043862,0.10894495412844
GRMZM2G043932,0.00285714285714286
GRMZM2G043992,0.0581831831831832
GRMZM2G034748,0
AC196206.3_FG007,0.964285714285714
GRMZM2G018274,1
GRMZM2G702889,0.820987654320988
AC190750.2_FG014,0.714285714285714
GRMZM2G025536,0.0144927536231884
GRMZM2G175343,0
GRMZM2G070273,0.675013774104683
GRMZM2G070287,0
GRMZM2G070389,0.464285714285714
GRMZM2G371944,0.0956748122134426
AC206638.3_FG007,0.00676328502415459
GRMZM2G071034,0.353868200451571
GRMZM2G071330,0.0515453689757095
GRMZM2G071333,0.585329254079254
GRMZM2G035370,0.00730020347391997
GRMZM2G035325,0.03125
GRMZM2G119773,0.247876900430792
GRMZM5G802365,0.00968992248062015
GRMZM2G119916,0
GRMZM2G119941,0.00118676754190773
AC206638.3_FG015,NA
GRMZM2G018716,0.00553933833750348
GRMZM2G018692,0.00327429822503714
GRMZM2G034840,0.124378109452736
GRMZM2G047590,0.577191920092529
GRMZM2G047474,0.0974537737745247
GRMZM2G047448,0.0123893805309735
GRMZM2G047321,0.402640692640693
GRMZM2G047018,0.488411757161757
GRMZM2G046968,0.00218946139249745
GRMZM2G348909,0.170048223947307
GRMZM2G511859,0
GRMZM2G062420,0.0965732087227414
GRMZM2G062396,0.00309794372294372
GRMZM2G365188,0.131268436578171
GRMZM2G062354,0.695560516545199
GRMZM2G365166,NA
GRMZM2G365162,0
GRMZM2G365152,0
GRMZM2G061745,0.221666666666667
GRMZM2G061672,0.48936170212766
GRMZM2G029194,0.693097691781902
GRMZM2G324669,0.111111111111111
GRMZM2G009783,0
GRMZM2G009653,0.207332251082251
GRMZM2G009413,0.0340909090909091
GRMZM2G150496,0.297736625514403
GRMZM2G150487,0.934244620114185
GRMZM2G150468,0.00420168067226891
GRMZM2G321394,0.00321428571428571
GRMZM2G017654,0.840066138353083
GRMZM2G173341,0.140277777777778
GRMZM2G087201,0.382991039967784
GRMZM2G388823,0
GRMZM2G535623,NA
GRMZM2G044011,0.786244836917818
GRMZM2G042933,0
AC204017.4_FG003,0.923152972952947
GRMZM2G042599,0.0517241379310345
GRMZM2G056572,0.169312169312169
GRMZM2G056513,0
GRMZM2G391746,0
GRMZM2G391741,0.012987012987013
GRMZM2G029113,0.00759637188208617
GRMZM2G039345,0.19047619047619
GRMZM2G039477,0.00219298245614035
GRMZM2G039532,0.169362084456424
GRMZM2G039588,0.0486662257495591
GRMZM2G040095,0.0199073149073149
AC210003.2_FG015,0.0046875
GRMZM2G342628,NA
GRMZM2G045049,0.593429038281979
AC210003.2_FG004,0.00676691729323308
GRMZM2G036297,0.121212121212121
GRMZM2G019404,0.0129111438389789
GRMZM2G020043,0
GRMZM2G314171,0.325925925925926
GRMZM2G067463,0.015625
GRMZM2G521862,0.003584229390681
GRMZM2G063328,0.672015225927099
GRMZM2G363066,0.00224089635854342
GRMZM2G032682,NA
GRMZM2G334734,0
GRMZM2G468747,0
GRMZM2G088121,NA
GRMZM2G348539,NA
GRMZM2G046733,0
GRMZM2G076212,0.00157756050204563
GRMZM2G059740,0.0055239898989899
GRMZM2G039961,0.00202020202020202
GRMZM2G040017,0.232704402515723
GRMZM2G386362,0.939831019018876
GRMZM2G534175,NA
GRMZM2G386417,0.00327901430842607
GRMZM5G836606,0
GRMZM2G086489,0.639733073963126
AC187209.5_FG003,0.714285714285714
GRMZM2G086573,0.00198463508322663
GRMZM2G086577,0.00145089285714286
GRMZM2G086801,0.0131578947368421
GRMZM2G386525,0.119047619047619
GRMZM2G086920,0.0912921348314607
AC187209.5_FG010,0.955263157894737
GRMZM5G825189,0.886293436293436
GRMZM2G033430,0.0303030303030303
GRMZM2G033219,0.424242424242424
GRMZM2G032977,0.00444444444444444
GRMZM2G095308,0.608887868514511
GRMZM2G095305,0.00690317912540135
GRMZM2G395114,0.00380952380952381
GRMZM2G095209,0.0167525773195876
GRMZM2G447847,0.975
GRMZM2G142048,0.921168288276083
GRMZM2G443885,0.0118852459016393
GRMZM2G443889,0.893163095894433
GRMZM2G443903,0.643799970319254
GRMZM2G081886,0.338567495867328
GRMZM2G082032,0.00559006211180124
GRMZM2G531230,0.00134770889487871
GRMZM2G082097,0.332950191570881
GRMZM2G177145,0
GRMZM2G334514,0.00228233305156382
AC206980.3_FG007,0.00849531327220114
GRMZM2G032209,0.438214380648591
GRMZM2G032022,0.602005393395221
GRMZM2G031625,0.771212093798443
GRMZM2G160523,0.00770341536916122
GRMZM2G160585,0.0052243919150394
GRMZM2G166281,0.168786115844939
GRMZM2G096546,0.00459183673469388
GRMZM2G096577,NA
GRMZM5G810191,1
GRMZM2G055844,0.111479028697572
GRMZM2G055752,0
GRMZM2G400961,0.00554138321995465
GRMZM2G400965,0
GRMZM2G474039,0
GRMZM2G174784,0
GRMZM2G474076,0.366944939118852
GRMZM2G174917,0.00586043360433604
GRMZM2G174926,0.388888888888889
GRMZM2G000093,0.538821067821068
GRMZM2G114008,0.469200812107789
GRMZM2G066169,0.259347442680776
GRMZM2G023163,0.745545735129068
GRMZM2G023239,0.428039215686275
GRMZM5G882708,0.115740740740741
GRMZM2G023921,0.00256410256410256
GRMZM5G892758,0.570436507936508
GRMZM2G071310,0
GRMZM2G071206,0
GRMZM2G071163,0.182590078434954
GRMZM2G071119,0.18609068627451
GRMZM2G372102,0.00198412698412698
GRMZM2G372074,0
GRMZM2G070881,0.394144144144144
GRMZM2G361388,0.00826210826210826
GRMZM5G846550,0.028
GRMZM2G023071,0.401960784313726
GRMZM2G023037,0.711912926867854
GRMZM2G022836,0.00499375780274657
GRMZM2G022563,0.667152027044207
GRMZM2G022192,0.188822063910674
GRMZM2G021635,0.311075316693294
GRMZM2G021475,0.919990256525148
GRMZM2G321427,1
GRMZM5G806157,0.920037839697282
GRMZM5G824964,0.248349025553475
GRMZM2G702909,0.883676363950265
GRMZM2G072850,0.126829041558144
GRMZM2G072820,0.00444444444444444
GRMZM2G072264,0.212121212121212
AC199343.3_FG013,0.00715643274853801
GRMZM2G352359,0.00887047268262738
GRMZM2G054225,0.362272347535505
AC191113.2_FG002,0.16166555342488
GRMZM5G866678,0.194444444444444
GRMZM2G043027,0
GRMZM2G036262,0.00900900900900901
GRMZM2G004305,0.148971987711278
GRMZM2G004352,0.0703125
GRMZM2G305007,0.520015217625512
GRMZM2G004590,0.198051948051948
GRMZM5G848138,0.30512987012987
GRMZM2G010474,0.0201292316336564
GRMZM5G899080,0.00123456790123457
GRMZM2G339117,0
GRMZM5G882427,0.0173324755560411
GRMZM5G886765,0.655864457180247
GRMZM5G829840,0.29482122571618
GRMZM2G052569,0.231775793650794
AC202705.2_FG001,0
GRMZM2G131961,0.00575052757133682
GRMZM2G431783,0.00555555555555556
GRMZM2G138782,0.885849148111662
GRMZM2G159161,0.00454997399803803
GRMZM2G159082,0.792611528430062
GRMZM2G106578,0
GRMZM2G407146,0.00792682926829268
GRMZM2G106511,0
GRMZM2G106445,0.107246376811594
GRMZM2G106413,0
GRMZM2G106393,0
GRMZM2G106384,0.0017921146953405
GRMZM2G106245,0.363636363636364
GRMZM2G106105,0.0817307692307692
GRMZM2G106056,0.433080808080808
GRMZM2G406977,0.407495130440336
GRMZM2G106010,0.683660130718954
GRMZM2G063519,0.0161427409879422
GRMZM2G363470,0.66995670995671
GRMZM2G379758,0.727514450062446
GRMZM2G115716,0.0627442002442002
GRMZM2G115705,0.00755847742747306
GRMZM2G115598,0.161666666666667
GRMZM2G419318,0.00616289198606272
GRMZM2G419290,0.0211640211640212
GRMZM2G470694,0.00981527433140336
GRMZM2G010962,0.952666666666667
GRMZM2G010892,0.176190476190476
GRMZM2G042055,0.00557640411536515
GRMZM2G175321,0.00865079365079365
GRMZM2G175288,0.897602366350047
GRMZM2G175258,0.0138888888888889
GRMZM2G039097,0.832142857142857
GRMZM2G422340,0.697222222222222
GRMZM2G122590,0.75
GRMZM2G122581,0.908333333333333
GRMZM2G164400,0.833835946139941
GRMZM2G164277,0.266775083154394
GRMZM2G411046,0.400410052910053
GRMZM2G114861,0.359292736846916
GRMZM2G121074,0.312865497076023
GRMZM2G121070,0.00122549019607843
GRMZM2G180870,0.00188383045525903
GRMZM2G168985,0.20034379902659
GRMZM2G169013,0.829310344827586
GRMZM2G454511,0.0189393939393939
GRMZM2G155217,0.00893814283644792
GRMZM5G886182,0.859872151107394
GRMZM5G834553,0.905686274509804
AC196954.2_FG012,0.756298526534807
GRMZM5G854980,NA
GRMZM5G885938,0.926270221007063
GRMZM5G851215,NA
GRMZM5G804477,0.859123882887604
GRMZM5G899582,NA
GRMZM2G461593,NA
GRMZM2G093341,0.911111111111111
GRMZM5G846115,NA
GRMZM5G834759,NA
GRMZM2G108875,0.897959183673469
GRMZM2G108884,0.885714285714286
